site_id,assign_km,g3p_basin
1032,622.2223947587822,Mississippi River
1033,659.3796359000892,Mississippi River
1034,659.3796359000892,Mississippi River
1035,659.3796359000892,Mississippi River
1036,659.3796359000892,Mississippi River
1037,659.3796359000892,Mississippi River
1038,659.3796359000892,Mississippi River
1039,655.6333817570985,Mississippi River
1040,655.3052681226261,Mississippi River
1041,659.3796359000892,Mississippi River
1042,659.3796359000892,Mississippi River
1043,659.3796359000892,Mississippi River
1044,655.3052681226261,Mississippi River
1045,659.3796359000892,Mississippi River
1046,659.3796359000892,Mississippi River
1047,672.9147078953605,Mississippi River
1048,652.5225658230074,Mississippi River
1049,659.3796359000892,Mississippi River
1050,636.1722482190528,Mississippi River
1051,659.3796359000892,Mississippi River
1052,663.5953130130579,Mississippi River
1053,654.7700363147733,Mississippi River
1054,659.3796359000892,Mississippi River
1055,653.0011260730736,Mississippi River
1056,659.3796359000892,Mississippi River
1059,507.8234207554929,Loire
1065,696.5366397624978,Mississippi River
1066,694.524430392741,Mississippi River
1067,709.56578150236,Mississippi River
1068,778.7413436444692,Mississippi River
1070,846.6551690120974,St.Lawrence
1073,507.8234207554929,Loire
1074,849.3701975768821,Mississippi River
1075,594.8145360135832,Mississippi River
1076,738.5839420938065,St.Lawrence
1079,830.3087923407096,Mississippi River
1080,764.0604324721612,St.Lawrence
1082,734.0866941782187,St.Lawrence
1083,734.0866941782187,St.Lawrence
1084,734.0866941782187,St.Lawrence
1085,734.0866941782187,St.Lawrence
1086,734.0866941782187,St.Lawrence
1087,734.0866941782187,St.Lawrence
1088,874.1812127113375,Loire
1089,887.3535991323118,Loire
1090,874.1812127113375,Loire
1103,595.8328083956699,St.Lawrence
1112,1050.6720671817327,Loire
1113,1366.220670276876,Mississippi River
1114,778.7413436444692,Mississippi River
1115,778.7413436444692,Mississippi River
1118,546.3533537954573,Danube
1121,781.8028625719242,St.Lawrence
1128,1643.7675512950964,Grisalva
1129,1643.7675512950964,Grisalva
1130,1643.7675512950964,Grisalva
1132,632.958819944996,Colorado River (Pacific Ocean)
1139,1046.2212923192862,Mississippi River
1140,849.3701975768821,Mississippi River
1141,849.3701975768821,Mississippi River
1142,849.3701975768821,Mississippi River
1143,1643.7675512950964,Grisalva
1144,849.3701975768821,Mississippi River
1145,849.3701975768821,Mississippi River
1146,849.3701975768821,Mississippi River
1147,849.3701975768821,Mississippi River
1148,849.3701975768821,Mississippi River
1149,849.3701975768821,Mississippi River
1150,849.3701975768821,Mississippi River
1151,849.3701975768821,Mississippi River
1152,849.3701975768821,Mississippi River
1153,874.1812127113375,Loire
1154,849.3701975768821,Mississippi River
1155,671.4009531987037,Colorado River (Pacific Ocean)
1156,670.4973436477867,Colorado River (Pacific Ocean)
1167,821.4811926176002,Danube
1170,590.8038556419959,St.Lawrence
1171,659.3796359000892,Mississippi River
1172,593.3636662213252,St.Lawrence
1179,832.7300376474018,St.Lawrence
1184,873.9725378885958,Loire
1185,873.9725378885958,Loire
1186,873.9725378885958,Loire
1187,821.4811926176002,Danube
1188,576.8049621799995,Mississippi River
1191,628.8130173889845,Loire
1195,716.5988879698398,Mississippi River
1196,981.7037828080424,Colorado River (Pacific Ocean)
1199,672.5749715313465,St.Lawrence
1200,672.5749715313465,St.Lawrence
1201,593.3636662213252,St.Lawrence
1202,512.2875167156623,St.Lawrence
1212,873.874611554166,St.Lawrence
1227,684.4568997263906,Colorado River (Pacific Ocean)
1229,641.7440802585443,Krishna
1270,528.6375286703754,St.Lawrence
1281,563.1304249738782,St.Lawrence
1282,849.3701975768821,Mississippi River
1283,954.9242960477426,Columbia River
1285,820.8868793212997,Danube
1287,593.3636662213252,St.Lawrence
1288,672.5749715313465,St.Lawrence
1291,507.8234207554929,Loire
1292,559.4980902726473,Loire
1294,610.614285889032,Indus
1296,720.7871408733934,Mississippi River
1297,721.0062247987046,Mississippi River
1305,593.3636662213252,St.Lawrence
1306,849.3701975768821,Mississippi River
1307,593.3636662213252,St.Lawrence
1336,769.077412274667,Neva
1337,820.7179427872077,Neva
1350,1056.636473276278,Mississippi River
1356,607.668247985529,St.Lawrence
1362,1366.220670276876,Mississippi River
1364,1345.232376536862,Mississippi River
1366,832.1419245448266,Mississippi River
1367,832.1419245448266,Mississippi River
1371,743.8629239805797,Mississippi River
1373,631.2977734963393,Loire
1374,631.2977734963393,Loire
1378,500.0054344474862,Danube
1384,844.3290237978222,Neva
1385,766.8186819245674,Loire
1386,692.3298928297282,Rhine
1388,766.8186819245674,Loire
1390,757.5567789977142,St.Lawrence
1391,1020.7750283481491,Mississippi River
1392,1020.7750283481491,Mississippi River
1393,644.2878764426745,Loire
1398,672.5749715313465,St.Lawrence
1399,775.4829280040511,St.Lawrence
1400,1643.7675512950964,Grisalva
1401,515.6534847218123,Loire
1402,515.6534847218123,Loire
1405,874.1812127113375,Loire
1406,874.1812127113375,Loire
1407,874.1812127113375,Loire
1408,611.2947633814166,Mississippi River
1409,655.3549985983299,Ganges
1410,655.3549985983299,Ganges
1415,671.3198164953029,Colorado River (Pacific Ocean)
1416,670.7837206353205,Colorado River (Pacific Ocean)
1417,671.4009531987037,Colorado River (Pacific Ocean)
1418,671.4009531987037,Colorado River (Pacific Ocean)
1419,671.4009531987037,Colorado River (Pacific Ocean)
1420,671.4009531987037,Colorado River (Pacific Ocean)
1421,671.4009531987037,Colorado River (Pacific Ocean)
1422,671.4009531987037,Colorado River (Pacific Ocean)
1423,670.3220039898299,Colorado River (Pacific Ocean)
1424,674.9132206157805,Colorado River (Pacific Ocean)
1425,679.2480195297884,Colorado River (Pacific Ocean)
1426,671.4009531987037,Colorado River (Pacific Ocean)
1427,671.4009531987037,Colorado River (Pacific Ocean)
1428,671.4009531987037,Colorado River (Pacific Ocean)
1429,671.816272060553,Colorado River (Pacific Ocean)
1430,671.4009531987037,Colorado River (Pacific Ocean)
1431,688.7353498636892,Colorado River (Pacific Ocean)
1432,668.5845166151272,Rhine
1433,533.7955525627948,Mississippi River
1434,873.9725378885958,Loire
1435,765.7444729558002,St.Lawrence
1436,785.0960833831723,St.Lawrence
1437,755.6062196333229,St.Lawrence
1438,776.2986733726185,St.Lawrence
1449,716.2029824908896,Mississippi River
1453,849.3701975768821,Mississippi River
1454,659.3796359000892,Mississippi River
1455,657.9251858679404,Mississippi River
1458,507.8234207554929,Loire
1459,507.8234207554929,Loire
1464,1635.3322784657933,Grisalva
1469,695.2277199537037,Mississippi River
1470,734.0866941782187,St.Lawrence
1472,694.0240709118161,Colorado River (Pacific Ocean)
1473,694.0240709118161,Colorado River (Pacific Ocean)
1475,786.0003082990702,Rhine
1479,709.3256701511185,St.Lawrence
1484,874.1812127113375,Loire
1485,874.1812127113375,Loire
1486,874.1812127113375,Loire
1487,874.1812127113375,Loire
1488,874.1812127113375,Loire
1489,874.1812127113375,Loire
1490,874.1812127113375,Loire
1491,874.1812127113375,Loire
1492,874.1812127113375,Loire
1493,874.1812127113375,Loire
1494,874.1812127113375,Loire
1495,874.1812127113375,Loire
1496,874.1812127113375,Loire
1497,874.1812127113375,Loire
1498,874.1812127113375,Loire
1499,874.1812127113375,Loire
1500,874.1812127113375,Loire
1501,874.1812127113375,Loire
1502,874.1812127113375,Loire
1503,874.1812127113375,Loire
1504,874.1812127113375,Loire
