resource,model,condition,stratum,n_sites,RMSE,MAE,MASE,skill_vs_snaive
water,xLSTM,gat_weighted,all,4889,50.5707,42.1021,0.9412,-0.38151
water,xLSTM,gat_weighted,boundary,484,47.7402,39.9847,0.8915,-0.1977
water,xLSTM,gat_weighted,non_boundary,4405,50.8817,42.3348,0.9467,-0.4017
water,xLSTM,random_control,all,4889,49.098,40.9306,0.9156,-0.32966
water,xLSTM,random_control,boundary,484,47.3441,39.6378,0.8844,-0.18433
water,xLSTM,random_control,non_boundary,4405,49.2908,41.0727,0.9191,-0.34562
water,xLSTM,random_control_calibrated,all,4889,49.7509,41.4577,0.9272,-0.35302
water,xLSTM,random_control_calibrated,boundary,484,47.5614,39.8394,0.8885,-0.19178
water,xLSTM,random_control_calibrated,non_boundary,4405,49.9915,41.6355,0.9315,-0.37074
water,xLSTM,equal_weight_neighbour,all,4889,50.5708,42.1021,0.9412,-0.38151
water,xLSTM,equal_weight_neighbour,boundary,484,47.7413,39.9845,0.8915,-0.19773
water,xLSTM,equal_weight_neighbour,non_boundary,4405,50.8817,42.3348,0.9467,-0.4017
water,TimesFM,unweighted,all,4889,36.2677,28.6201,0.6292,0.06134
water,TimesFM,unweighted,boundary,484,36.505,29.2333,0.6393,0.10659
water,TimesFM,unweighted,non_boundary,4405,36.2416,28.5527,0.6281,0.05636
water,TimesFM,gat_weighted,all,4889,36.2682,28.6158,0.6291,0.0613
water,TimesFM,gat_weighted,boundary,484,36.5102,29.1904,0.6384,0.10619
water,TimesFM,gat_weighted,non_boundary,4405,36.2416,28.5527,0.6281,0.05636
water,TimesFM,random_control,all,4889,36.4573,28.8866,0.6347,0.04931
water,TimesFM,random_control,boundary,484,36.521,29.3897,0.6435,0.10303
water,TimesFM,random_control,non_boundary,4405,36.4503,28.8313,0.6337,0.04341
water,TimesFM,random_control_calibrated,all,4889,36.3108,28.66,0.6299,0.05662
water,TimesFM,random_control_calibrated,boundary,484,36.4711,29.2615,0.6402,0.10578
water,TimesFM,random_control_calibrated,non_boundary,4405,36.2932,28.5939,0.6288,0.05121
water,TimesFM,equal_weight_neighbour,all,4889,36.2684,28.6159,0.6291,0.06129
water,TimesFM,equal_weight_neighbour,boundary,484,36.5128,29.1914,0.6384,0.10612
water,TimesFM,equal_weight_neighbour,non_boundary,4405,36.2416,28.5527,0.6281,0.05636
water,Nexus,unweighted,all,4889,31.2324,24.4634,0.5448,0.20164
water,Nexus,unweighted,boundary,484,31.7211,25.3586,0.5558,0.2283
water,Nexus,unweighted,non_boundary,4405,31.1787,24.365,0.5436,0.19871
water,Nexus,gat_weighted,all,4889,31.2287,24.4581,0.5447,0.2017
water,Nexus,gat_weighted,boundary,484,31.6837,25.3045,0.5548,0.2289
water,Nexus,gat_weighted,non_boundary,4405,31.1787,24.365,0.5436,0.19871
water,Nexus,random_control,all,4889,31.2563,24.4244,0.5434,0.19229
water,Nexus,random_control,boundary,484,31.4327,25.0678,0.55,0.23215
water,Nexus,random_control,non_boundary,4405,31.2369,24.3537,0.5427,0.18791
water,Nexus,random_control_calibrated,all,4889,31.1689,24.3382,0.542,0.19891
water,Nexus,random_control_calibrated,boundary,484,31.5149,25.1455,0.5515,0.23171
water,Nexus,random_control_calibrated,non_boundary,4405,31.1309,24.2495,0.5409,0.1953
water,Nexus,equal_weight_neighbour,all,4889,31.229,24.4584,0.5447,0.2017
water,Nexus,equal_weight_neighbour,boundary,484,31.6875,25.3075,0.5548,0.22882
water,Nexus,equal_weight_neighbour,non_boundary,4405,31.1787,24.365,0.5436,0.19871
