site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
97,-0.38497752,-0.1969667,0.8848076,0.9739946,0.5644176,0.56274337,-0.644196,0.31158584,0.043478265
98,-0.37639445,-0.50013065,0.27023846,1.0912857,-0.24015723,0.017822102,-0.5244072,-0.4776506,0.09090909
100,-0.24393807,-0.48651248,-1.4034009,-0.105449304,-2.3565214,-0.25258368,0.92726785,-2.8628688,0.027027018
101,0.69102156,-0.606375,-0.02234824,0.4428991,-1.3312173,-1.2282574,0.44690195,-0.4171963,0.029411763
102,-1.6316195,0.18910292,0.46850306,0.80232364,1.9114077,2.182437,-1.6219536,-0.21840721,0.07142857
103,-0.40971017,-0.18685153,0.8751302,0.96702117,0.59166497,0.5958002,-0.66056997,0.3025505,0.08333333
104,-1.7088665,0.2384113,0.39941734,0.7273215,2.026214,2.2936957,-1.6798875,-0.2457684,0.031249993
105,0.5810024,0.5653103,-0.028314248,-1.043597,1.0865849,-0.17341514,0.04716278,1.3907346,0.0625
106,0.41025627,-0.18806809,-0.4909373,-0.05184385,0.390225,-1.0494001,-0.5002536,0.6703795,0.06666667
107,-0.017541014,-0.67724985,0.43556106,1.173987,-0.9692726,-0.37624073,-0.063675076,-0.6723633,0.083333336
108,0.6377678,-0.036020122,-0.95379007,-0.58752185,0.586155,-1.3916382,-0.4520249,0.90270686,0.09090909
109,0.6377678,-0.036020122,-0.95379007,-0.58752185,0.586155,-1.3916382,-0.4520249,0.90270686,0.09090909
110,-0.051142663,-0.6783278,0.4903506,1.2796247,-0.64073867,-0.40495223,-0.3141858,-0.37690702,0.016949164
111,-1.0534557,-0.5035024,0.8010276,1.6416997,-0.24155419,1.131777,-0.6693297,-1.1546574,0.071428575
112,-1.5301293,0.45694464,1.4651419,0.45307785,-0.5230626,3.4908192,0.7185169,-2.1830144,0.083333336
113,-0.42789334,0.75873494,0.40636796,-0.7695178,0.9703945,1.556565,0.16061303,0.21254027,0.024390237
114,-0.0133024305,0.0017910872,0.8325522,0.3693276,0.015978396,0.49034888,0.13703975,0.14262035,0.039999995
115,0.50095755,-0.76365674,-0.838767,0.56320983,-0.52268606,-1.8335212,-0.5640841,-0.021961018,0.038461544
116,-1.6455754,0.19803777,0.45588475,0.7887679,1.9321271,2.20248,-1.6323684,-0.22331092,0.0625
117,-0.8955326,0.99607235,0.00018458068,-1.32134,-0.35102886,2.564949,1.2451743,-1.7088162,0.016393445
118,0.77060986,-0.6405986,0.009718791,0.46419293,-1.4073536,-1.3267041,0.4926211,-0.38798603,0.017543847
119,0.6082387,-0.5761217,-0.04188414,0.4339069,-1.2597078,-1.125105,0.39876926,-0.4498321,0.07142857
120,-0.026843145,0.36326233,-0.8386043,-0.78162074,1.3925476,-0.24246922,-0.73828524,0.883373,0.049999997
121,0.68554765,1.1762409,0.03341207,-1.8832887,2.18949,0.29836422,0.019145675,2.3626306,0.07142857
122,0.52225953,0.46858907,-0.97575116,-1.2927072,1.0604646,-0.73362935,-0.21261933,1.0759178,0.06666667
123,-1.6296139,0.18781991,0.4703114,0.80427176,1.908429,2.1795542,-1.6204545,-0.21770102,0.07692308
124,-0.082504064,-0.670731,0.45564276,1.211939,-0.924271,-0.29114306,-0.102764115,-0.6968404,0.010101004
125,0.5606159,0.44605005,-0.94875264,-1.2674631,1.0135493,-0.77968055,-0.1893143,1.0856448,0.038461536
126,0.5604957,0.44612092,-0.9488379,-1.267543,1.0136964,-0.77953637,-0.1893872,1.0856144,0.0625
127,-0.050609514,-0.6697939,0.50288594,1.2725508,-0.6236008,-0.39201665,-0.31364787,-0.35954103,0.015625007
128,0.5605015,0.44611746,-0.9488338,-1.2675391,1.0136894,-0.77954334,-0.18938366,1.085616,0.05882353
129,0.5605015,0.44611746,-0.9488338,-1.2675391,1.0136894,-0.77954334,-0.18938366,1.085616,0.05882353
130,0.5605015,0.44611746,-0.9488338,-1.2675391,1.0136894,-0.77954334,-0.18938366,1.085616,0.05882353
131,-0.41488248,-0.47759104,0.24297163,1.0660555,-0.19035141,0.06878863,-0.5499268,-0.48843965,0.052631576
132,0.77059495,-0.64058965,0.009705313,0.4641825,-1.4073368,-1.3266866,0.49261245,-0.38799098,0.06250001
133,-1.0534557,-0.5035024,0.8010276,1.6416997,-0.24155419,1.131777,-0.6693297,-1.1546574,0.071428575
134,-0.08515322,-0.6706928,0.45685935,1.2140827,-0.9226099,-0.28771335,-0.10431089,-0.6977997,0.010416658
135,0.52276284,0.46829376,-0.9753994,-1.2923771,1.0598497,-0.73423463,-0.21231326,1.076046,0.0909091
136,0.52276284,0.46829376,-0.9753994,-1.2923771,1.0598497,-0.73423463,-0.21231326,1.076046,0.0909091
137,-0.41566986,-0.47532126,0.23811547,1.0608462,-0.18704249,0.06955744,-0.5504958,-0.48814395,0.08333333
138,0.52276284,0.46829376,-0.9753994,-1.2923771,1.0598497,-0.73423463,-0.21231326,1.076046,0.0909091
139,-0.42813188,0.760371,0.40309972,-0.7733178,0.97241193,1.5567766,0.1604394,0.21285331,0.023809522
140,-0.89676106,0.9980978,-0.0034833327,-1.3253218,-0.34767824,2.5665233,1.2441798,-1.7086139,0.017543858
141,0.70502937,-0.60988873,-0.02278027,0.4403817,-1.3414015,-1.2460463,0.45529565,-0.41115656,0.030303024
143,0.4879037,0.9374322,0.5453098,-1.2188828,2.0401292,0.53380865,-0.13392755,2.2140458,0.04347826
144,0.77059495,-0.64058965,0.009705313,0.4641825,-1.4073368,-1.3266866,0.49261245,-0.38799098,0.06250001
145,0.77059495,-0.64058965,0.009705313,0.4641825,-1.4073368,-1.3266866,0.49261245,-0.38799098,0.06250001
146,-1.1068125,0.6588541,0.81122863,-0.3541559,-0.6143281,2.8742785,1.0913239,-1.9148618,0.08333333
148,-0.6561275,0.1074831,0.51884246,0.47849852,1.0845952,1.006639,-0.7891093,0.2884825,0.01960785
149,-0.6653433,0.09793266,0.54389733,0.5087348,1.0785439,1.0200233,-0.7954181,0.28074878,0.021276591
150,0.47840428,0.42389736,-0.8556034,-1.1556946,1.0279789,-0.6707485,-0.24699715,1.0467097,0.07142856
151,0.3764078,-0.036588512,-0.66303575,-0.3254816,0.71269983,-0.97516364,-0.5878243,0.8409225,0.1
152,0.7715909,-0.61621046,-0.042425692,0.4042868,-1.3798438,-1.3266256,0.4921445,-0.38363567,0.083333336
153,-0.37305158,0.21731047,0.14401308,0.0055363737,1.0502721,0.61024654,-0.597459,0.46760532,0.07692308
154,0.77059495,-0.64058965,0.009705313,0.4641825,-1.4073368,-1.3266866,0.49261245,-0.38799098,0.06250001
155,0.77059495,-0.64058965,0.009705313,0.4641825,-1.4073368,-1.3266866,0.49261245,-0.38799098,0.06250001
157,-0.039632417,-0.6621553,0.7726659,1.5232924,0.17135802,-0.47650373,-0.86886114,0.47836336,0.071428575
159,-0.085893705,-0.67056566,0.4569828,1.2143828,-0.92203903,-0.2867381,-0.1047608,-0.6980742,0.010526308
160,0.27097806,-0.083496965,-2.0606794,-0.7873593,1.0660189,-1.7506763,-1.141565,0.6388478,0.04166667
161,0.56944495,-0.044768635,-0.84045374,-0.5201023,0.4284292,-1.2288009,-0.36383864,0.7177453,0.06666667
162,-0.9970287,0.8408918,0.37586945,-0.87352985,-0.47165012,2.71365,1.1724454,-1.8065487,0.055555563
163,0.77059495,-0.64058965,0.009705313,0.4641825,-1.4073368,-1.3266866,0.49261245,-0.38799098,0.06250001
164,-1.1363109,-0.44802752,0.72919506,1.5685058,-0.12021941,1.2465467,-0.7290053,-1.1758348,0.05882353
165,-0.103627935,-0.3415231,-0.21295522,0.413724,-0.6055086,-0.23182817,-0.031788256,-0.703905,0.08333333
166,0.77059495,-0.64058965,0.009705313,0.4641825,-1.4073368,-1.3266866,0.49261245,-0.38799098,0.06250001
167,-0.08421007,-0.67068803,0.45638812,1.2132677,-0.92318463,-0.28893507,-0.10376425,-0.697461,0.010309272
168,0.7705909,-0.6405873,0.0097018555,0.46417958,-1.4073317,-1.3266814,0.49261025,-0.38799205,0.050000004
169,-1.7088665,0.2384113,0.39941734,0.7273215,2.026214,2.2936957,-1.6798875,-0.2457684,0.031249993
170,-1.7088665,0.2384113,0.39941734,0.7273215,2.026214,2.2936957,-1.6798875,-0.2457684,0.031249993
171,0.6470746,0.09929652,-1.1017277,-0.920313,0.31960088,-1.2224171,-0.09242433,0.56464905,0.015873006
