site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
65,0.4748399,-0.3011791,0.27207476,0.18533319,-0.13219757,-0.06723079,-0.052865133,0.0051410235,0.0625
66,0.08079106,0.021996824,0.43926764,0.2698404,0.12065074,0.08281775,0.0801065,-0.01998895,0.045454547
67,1.0343009,-0.54560393,0.25106853,0.35391682,-0.68178916,-0.5837177,0.2696013,0.018035326,0.083333336
68,0.14164162,-0.11774737,0.26824123,0.3405501,-0.033906788,-0.05063449,0.055302694,-0.34275547,0.05882353
69,-0.26005444,-0.0388928,0.21593668,0.16459477,0.272712,0.48483795,-0.41393942,-0.1242176,0.08333333
70,0.54250026,-0.18112019,0.15061486,0.14507313,-0.378725,-0.02039902,0.34313053,-0.22025742,0.09090909
71,0.6165948,-0.01740871,0.053377405,-0.1900574,0.2684606,-0.6899338,0.192847,-0.098808646,0.10000001
72,-0.07799071,0.06685506,-0.20867114,-0.24813372,0.15604231,0.58843905,-0.24309056,0.0029958226,0.055555556
73,0.45401338,0.30530795,-0.3353215,-0.3780404,0.14783894,-0.4328652,0.5836406,-0.6071039,0.07692307
74,0.6781124,-0.3832732,0.106521815,-0.04735411,0.19926542,-0.68599963,-0.2729182,0.040994547,0.06250001
76,0.54319125,-0.03205787,0.0063355416,-0.061489157,-0.19343393,-0.14496106,0.3792848,-0.15323175,0.0625
77,-0.293077,0.24794637,0.3527081,0.12555775,0.14247334,0.80708903,-0.030251205,0.19473498,0.09090909
78,0.82839596,-0.3515449,0.22824293,0.1016059,-0.32694763,-0.30590254,0.113021895,0.2748046,0.0909091
79,0.31136772,-0.0036885524,0.034794793,-0.4311682,0.53457904,0.005476415,-0.29613918,0.24677728,0.08333334
80,0.3141143,0.20052376,-0.18944459,-0.4565475,0.27276477,-0.034151733,0.21682183,-0.18406452,0.14285713
85,0.7604545,-0.029287022,0.23663148,-0.045905314,-0.16380586,-0.40157446,0.44122845,0.21674445,0.07142856
86,0.29112175,-0.15904474,0.16830532,0.16647968,0.009373248,-0.13979185,-0.05554265,-0.17460985,0.052631572
