region_id,resource,n_folds,n_folds_ok,backtest_mape_mean,backtest_mape_std,backtest_rmse_mean
USA|montana,electricity,21,21,10.810488117330355,3.592279492033625,289.0395996180706
USA|nebraska,electricity,21,21,9.116520777460865,2.840349921343836,328.3300172081651
USA|nevada,electricity,21,21,11.252324746975253,7.389854495338636,421.0009011143657
USA|new hampshire,electricity,21,21,16.8899317761276,6.780904053338115,297.94690503231294
USA|new jersey,electricity,21,21,10.901409128734779,3.882223130338325,760.1198157598661
USA|new mexico,electricity,21,21,10.264751955485512,2.880892046990974,364.3815009666201
USA|new york,electricity,21,21,6.218518674581258,2.0173215300147915,871.9603518280168
USA|north carolina,electricity,21,21,10.08758586158109,3.1219675336855026,1307.988263366878
USA|north dakota,electricity,21,21,7.763164455625364,1.9091589918258318,295.5252362061374
USA|ohio,electricity,21,21,10.27338257550534,3.3591503522770285,1341.4498565413012
USA|oklahoma,electricity,21,21,10.312602854186437,3.248373211251646,861.6799988923293
USA|oregon,electricity,21,21,7.071717660109236,2.063189646354627,439.1778152890443
USA|pennsylvania,electricity,21,21,6.449101662393751,1.65247911475101,1499.7627272764496
USA|rhode island,electricity,21,21,19.32827392488779,9.698185126710902,142.1182707453004
USA|south carolina,electricity,21,21,7.506079776982799,2.1116328485606735,758.2327156243163
USA|south dakota,electricity,21,21,18.931967910275883,8.975346251386961,206.52724681964702
USA|tennessee,electricity,21,21,10.630559271289023,3.460416841421024,825.1908605909971
USA|texas,electricity,21,21,5.093803728206981,1.9236879804459122,2382.292334320356
USA|utah,electricity,21,21,10.916954171091948,3.5323058964482414,423.4536348033301
USA|vermont,electricity,21,21,29.120262365280382,48.6781438118752,86.10718159375831
USA|virginia,electricity,21,21,13.47350112616603,4.879267761090076,1080.9741394634843
USA|washington,electricity,21,21,10.719916474567833,2.60270101224222,1149.9671697800588
USA|washington dc,electricity,21,21,336.9478739587529,550.4632242182131,10.823902786552797
USA|west virginia,electricity,21,21,17.07285993361672,7.388551937216229,1067.3304653480523
USA|wisconsin,electricity,21,21,9.33063135295863,1.7265000355459954,634.0693130085363
USA|wyoming,electricity,21,21,8.82576237562939,2.4787665064037148,391.3856723036601
AUT,carbon,7,7,28.931805460362845,11.445585011359205,28.80420120977464
BEL,carbon,7,7,19.17788850667112,7.969799962172366,34.30149680798423
BGR,carbon,7,7,26.4489431823967,16.50034832588306,108.62769070951575
BIH,carbon,3,3,13.97635064974346,5.25384437543528,98.86752930928184
CHE,carbon,5,5,8.713204976094737,1.9034807238784748,6.187581564800974
CYP,carbon,5,5,5.156561469907264,1.219999730919086,34.39907990923215
CZE,carbon,7,7,12.40178144054872,4.12681692925123,64.194090808756
DEU,carbon,7,7,14.951840246297659,4.007356542957113,62.71135048765537
DNK,carbon,7,7,30.759201196496036,15.285950066742329,65.86340974964953
ESP,carbon,7,7,30.565638009472845,14.272289895367518,54.873122545293995
EST,carbon,7,7,23.0023213982367,12.998641782715614,97.26341082103681
FIN,carbon,5,5,51.42952545355888,36.71869912037542,47.996950917041566
FRA,carbon,7,7,40.94846511845619,15.887496259704841,17.225825136117656
GBR,carbon,7,7,15.022587939114901,5.179888654881697,38.58318572326772
GRC,carbon,7,7,16.353834793971448,7.550472325568177,69.61595797865823
HRV,carbon,3,3,52.20824155303222,22.782504136072642,73.22859834481854
HUN,carbon,7,7,15.870840529139693,4.970521319344565,40.478802986460046
IND|delhi,carbon,2,2,14.299237855185318,3.293363534998009,66.52689817651822
IND|gujarat,carbon,2,2,7.794254857202237,0.48514853842203154,47.37583417947997
IND|karnataka,carbon,2,2,20.34809756294206,2.240212692482819,96.10639024695774
IND|kerala,carbon,2,2,6.354241029598608,0.13432552163203004,2.199473362417513
IND|maharashtra,carbon,2,2,3.065232658285202,0.23036804772361696,23.810785167295876
IND|odisha,carbon,2,2,3.531445529157889,0.5167810096394228,29.20157979914687
IND|rajasthan,carbon,2,2,8.601439893054255,4.537577983127618,42.844006178304326
IND|tamil nadu,carbon,2,2,11.243183164489583,0.8532122914352138,62.29998081534925
IND|telangana,carbon,2,2,7.436235844046623,1.0988921255848276,54.011832706437445
IND|uttar pradesh,carbon,2,2,1.2975144270435348,0.21632713143403193,11.077710853514116
IND|west bengal,carbon,2,2,1.0608710597623672,0.15504504947944653,9.965871320244734
IRL,carbon,12,12,14.585643050629924,5.23600717375275,60.36619421932823
ITA,carbon,6,6,14.279791912399503,5.931904373289671,51.132522724545744
LTU,carbon,7,7,28.710243145315676,15.024201536874132,50.76056737636086
LUX,carbon,4,4,46.10789061468737,13.66175774892096,63.080268992826255
LVA,carbon,7,7,61.48145819744912,45.99372648272066,76.43618926038994
MDA,carbon,0,0,,,
MKD,carbon,4,4,11.979675321245923,3.5634666458474054,80.4509770058017
MLT,carbon,3,3,7.923819669471776,4.957108038285513,43.85088720372869
NLD,carbon,7,7,17.54220028340105,6.989244564485321,58.359017860906825
NOR,carbon,7,7,10.443106734703717,7.5680234137722255,3.447069530714864
POL,carbon,7,7,6.4104801832651885,3.3078822827160552,52.9380624615547
PRT,carbon,7,7,51.5062870303384,24.837696253410613,90.20976937399163
ROU,carbon,7,7,16.242019778489343,7.754894047642624,52.752608718445956
SRB,carbon,5,5,10.814134141545392,3.2631962517563813,84.99710449879171
SVK,carbon,7,7,24.019537301408317,5.851594679346345,35.03586157644166
SVN,carbon,6,6,70.4338602540682,79.83312550336998,95.96832108601109
SWE,carbon,7,7,8.80400795580786,1.9539966513814688,2.660923077894407
TUR,carbon,4,4,7.459770231462512,3.0347298034676093,42.160932182626254
USA|alabama,carbon,21,21,7.631308500305928,4.594097709228336,37.30523260586804
USA|arizona,carbon,21,21,6.426080496623291,2.470830779051943,28.98981179276786
USA|arkansas,carbon,21,21,9.594455256462073,4.200946807038319,52.98850909231432
USA|california,carbon,21,21,12.945779541800837,6.532952140113547,35.83075047880495
USA|colorado,carbon,21,21,6.330108807819871,4.762845312949612,36.85495984089155
USA|connecticut,carbon,21,21,9.543498861489416,3.9028405701765414,32.57516830958256
USA|delaware,carbon,21,21,6.389711073434368,3.053137943264422,40.81204257492912
USA|florida,carbon,21,21,3.159034671701422,0.9347695994047577,17.872220908126092
USA|georgia,carbon,21,21,7.11926345946584,3.232722851376126,35.1868295381782
USA|idaho,carbon,21,21,32.93953914939199,14.839783692944838,40.862845459256185
USA|illinois,carbon,21,21,10.14747002328206,7.525454485453545,32.95089122295732
USA|indiana,carbon,21,21,2.9357329425868017,2.11450965983869,22.47846179693437
USA|iowa,carbon,21,21,20.367109201319852,17.381544530829416,72.99647241345502
USA|kansas,carbon,21,21,18.549355373712302,12.009835987547454,72.29864909360248
USA|kentucky,carbon,21,21,1.8977420950339077,0.964425464013351,16.45634883957935
USA|louisiana,carbon,21,21,4.451196642653959,1.5657535017286142,25.267840099231886
USA|maine,carbon,21,21,13.956927787752926,7.033401354320591,38.044491887733784
USA|maryland,carbon,21,21,14.169090343942825,7.133182085361287,58.592085612000815
USA|massachusetts,carbon,21,21,8.161468307059275,3.910004424800872,38.87078298371392
USA|michigan,carbon,21,21,7.226054903946324,3.552105142662908,41.1923151601103
USA|minnesota,carbon,21,21,10.710271510501817,5.747366179260671,47.030555732534495
USA|mississippi,carbon,21,21,7.6295136098440075,2.2484384341574217,40.465387917422284
USA|missouri,carbon,21,21,5.405077442161239,2.835657423874768,41.82074562710736
USA|montana,carbon,21,21,19.446043032069905,10.532103720987498,87.13771203203412
USA|nebraska,carbon,21,21,11.590406947448518,5.442026483958914,65.51062096267552
USA|nevada,carbon,21,21,6.78709251455829,3.5433333986575395,33.50486972386251
USA|new hampshire,carbon,21,21,30.005579892058396,19.72385053402243,62.70824410980716
USA|new jersey,carbon,21,21,10.151794208932683,3.84373411105278,31.3267944330397
USA|new mexico,carbon,21,21,7.516457893400569,5.875715858910311,41.30123530129212
USA|new york,carbon,21,21,12.29390135856703,4.673518462127594,35.47033698619108
USA|north carolina,carbon,21,21,9.07795767449417,4.703863917907043,40.052432827451604
USA|north dakota,carbon,21,21,5.777091938480316,3.454127909545847,37.73043261308859
USA|ohio,carbon,21,21,4.691180997867294,2.0881869122538257,32.60758667682748
USA|oklahoma,carbon,21,21,9.250622561809255,5.744515802054658,41.98901612329756
USA|oregon,carbon,21,21,35.414533271304194,22.88447040078898,50.564606669766036
USA|pennsylvania,carbon,21,21,4.87767869561322,1.2744701041416078,23.482299482151944
USA|rhode island,carbon,21,21,1.797814740128338,1.4590174561868412,10.069381488231837
USA|south carolina,carbon,21,21,11.231487038359097,4.637136464678831,37.98975442410766
USA|south dakota,carbon,21,21,49.022521627306894,37.7776691592571,85.67743675078225
USA|tennessee,carbon,21,21,16.771899660836645,8.308219302283435,66.00230920937307
USA|texas,carbon,21,21,4.341382196443244,2.0575713366413306,22.380855957658408
USA|utah,carbon,21,21,3.5260370896344404,2.805001219554748,27.04405938241811
USA|vermont,carbon,21,21,20.77041639058087,11.975011575004814,13.443976129474729
USA|virginia,carbon,21,21,8.740733952046536,3.2377298016902536,38.75579807219346
USA|washington,carbon,21,21,40.34248326566651,27.33408287870098,37.36000749370945
USA|washington dc,carbon,17,17,22.668437725490943,15.236597455012099,57.884395060323406
USA|west virginia,carbon,21,21,1.496898552348624,0.8297188634473814,13.59271122439236
USA|wisconsin,carbon,21,21,5.728984559781335,2.635838638248086,36.96942717220991
USA|wyoming,carbon,21,21,4.055500883985341,3.222384667735819,31.564015007549777
Albany River,water,14,14,336.73653977410896,301.63950533844366,48.2637608843919
Bravo,water,14,14,274.41216576178743,429.05283935474836,31.69040845565655
Brazos River,water,14,14,210.18141059400483,294.67852972866245,66.64775441958054
Colorado River (Pacific Ocean),water,14,14,361.2532244098882,523.136244984182,32.57879031230572
Columbia River,water,14,14,130.74244267993748,137.7115348172371,56.72345942155622
Danube,water,14,14,287.9801451112181,219.77831766269952,61.31400402765458
Dniepr,water,14,14,396.7247335023432,572.1693985728297,62.73009926140482
Elbe River,water,14,14,202.8645353037406,128.58012414228378,54.88995638472399
Ganges,water,14,14,251.93226912016524,196.6659392987608,118.45037671552784
Godavari,water,14,14,243.20613803843838,253.03048369389637,113.83146085060723
Grisalva,water,14,14,327.88885262910355,440.9829382397256,87.82944029319219
Indus,water,14,14,335.56255622784744,378.53734055449655,62.57313954849351
Krishna,water,14,14,292.0083308210625,437.0926556537187,90.45343928983755
Loire,water,14,14,284.6738750587441,299.63559250855184,47.283155015400716
Mahanadi River (Mahahadi),water,14,14,647.2955414997541,1713.7137933752126,115.61757482363552
Mississippi River,water,14,14,459.4874624338353,781.6226844885774,56.32388754397075
Nelson River,water,14,14,682.9553211644386,1858.9820050970127,45.93710243410521
Neva,water,14,14,244.7323446728416,308.5459581022777,56.88679132047479
Oder River,water,14,14,429.1472049164373,705.3352318213205,55.30197427243725
Rhine,water,14,14,231.13271536940854,174.4241621660412,50.334271677994096
Senegal,water,14,14,139.34257163858553,91.59562300478844,44.34163782936033
St.Lawrence,water,14,14,428.2222113615384,574.9097477174141,55.306225548471375
Tigris & Euphrates,water,14,14,628.0362187825705,1394.4241825406743,59.550071876516235
Wisla,water,14,14,245.82538386114797,219.31470449332159,52.11795052106038
