resource,region,model,RMSE
electricity,USA|michigan,Nexus,656.0282635887621
electricity,USA|michigan,SARIMA,553.9916242362917
electricity,USA|michigan,TimesFM,788.4601863591155
electricity,USA|michigan,xLSTM,998.8775910820771
electricity,USA|minnesota,Nexus,255.80210179864446
electricity,USA|minnesota,SARIMA,366.11145368651813
electricity,USA|minnesota,TimesFM,275.28597757891964
electricity,USA|minnesota,xLSTM,505.59257651559034
electricity,USA|mississippi,Nexus,511.574733918453
electricity,USA|mississippi,SARIMA,444.050765458089
electricity,USA|mississippi,TimesFM,531.4656851464073
electricity,USA|mississippi,xLSTM,762.987299890458
electricity,USA|missouri,Nexus,466.6199073359638
electricity,USA|missouri,SARIMA,1118.2446000194948
electricity,USA|missouri,TimesFM,524.9498242203931
electricity,USA|missouri,xLSTM,769.4683922527012
electricity,USA|montana,Nexus,220.9074712179727
electricity,USA|montana,SARIMA,215.0487335985101
electricity,USA|montana,TimesFM,193.78430184978606
electricity,USA|montana,xLSTM,242.42757675874802
electricity,USA|nebraska,Nexus,228.54374970440477
electricity,USA|nebraska,SARIMA,250.7377799593488
electricity,USA|nebraska,TimesFM,225.79779975678323
electricity,USA|nebraska,xLSTM,336.7776401123015
electricity,USA|nevada,Nexus,243.88778457629408
electricity,USA|nevada,SARIMA,248.5683036549031
electricity,USA|nevada,TimesFM,269.70981931728494
electricity,USA|nevada,xLSTM,224.12244849975872
electricity,USA|new hampshire,Nexus,226.41470929321537
electricity,USA|new hampshire,SARIMA,343.5694367316939
electricity,USA|new hampshire,TimesFM,197.87919396965052
electricity,USA|new hampshire,xLSTM,225.83786334085988
electricity,USA|new jersey,Nexus,449.9472364181139
electricity,USA|new jersey,SARIMA,511.53621930117237
electricity,USA|new jersey,TimesFM,508.61454109990217
electricity,USA|new jersey,xLSTM,516.4838308805637
electricity,USA|new mexico,Nexus,343.22317131830926
electricity,USA|new mexico,SARIMA,452.45029591946536
electricity,USA|new mexico,TimesFM,350.66057252418796
electricity,USA|new mexico,xLSTM,318.1000904982826
electricity,USA|new york,Nexus,540.6889080117495
electricity,USA|new york,SARIMA,522.4619647021082
electricity,USA|new york,TimesFM,554.6320800670151
electricity,USA|new york,xLSTM,453.32997453403766
electricity,USA|north carolina,Nexus,712.0383001042496
electricity,USA|north carolina,SARIMA,876.2572345511155
electricity,USA|north carolina,TimesFM,701.2002546715413
electricity,USA|north carolina,xLSTM,1085.6407779660178
electricity,USA|north dakota,Nexus,268.41835680683005
electricity,USA|north dakota,SARIMA,193.3272104071117
electricity,USA|north dakota,TimesFM,273.3339840851329
electricity,USA|north dakota,xLSTM,415.58008622465746
electricity,USA|ohio,Nexus,1004.9613233546992
electricity,USA|ohio,SARIMA,793.8991355086923
electricity,USA|ohio,TimesFM,991.1377203049644
electricity,USA|ohio,xLSTM,1426.3843078316097
electricity,USA|oklahoma,Nexus,496.31781845028104
electricity,USA|oklahoma,SARIMA,658.874674681976
electricity,USA|oklahoma,TimesFM,527.793453331391
electricity,USA|oklahoma,xLSTM,699.5738099942391
electricity,USA|oregon,Nexus,394.47613735912324
electricity,USA|oregon,SARIMA,418.14181837908546
electricity,USA|oregon,TimesFM,378.43541991831546
electricity,USA|oregon,xLSTM,406.46269424489265
electricity,USA|pennsylvania,Nexus,1117.5900804241983
electricity,USA|pennsylvania,SARIMA,917.6719807826795
electricity,USA|pennsylvania,TimesFM,946.7738982499552
electricity,USA|pennsylvania,xLSTM,1297.3704145643064
electricity,USA|rhode island,Nexus,108.91302531210995
electricity,USA|rhode island,SARIMA,61.98151405464923
electricity,USA|rhode island,TimesFM,71.4192482972028
electricity,USA|rhode island,xLSTM,81.8990581808722
electricity,USA|south carolina,Nexus,714.889628894882
electricity,USA|south carolina,SARIMA,467.90261661099936
electricity,USA|south carolina,TimesFM,485.43856260345336
electricity,USA|south carolina,xLSTM,558.8598297259193
electricity,USA|south dakota,Nexus,204.98296674844858
electricity,USA|south dakota,SARIMA,184.60227428947312
electricity,USA|south dakota,TimesFM,220.9917618654549
electricity,USA|south dakota,xLSTM,298.7279600934523
electricity,USA|tennessee,Nexus,575.1006218530781
electricity,USA|tennessee,SARIMA,625.6670726448071
electricity,USA|tennessee,TimesFM,613.6552892571468
electricity,USA|tennessee,xLSTM,936.831310259157
electricity,USA|texas,Nexus,1834.3471883367488
electricity,USA|texas,SARIMA,1631.9988130220547
electricity,USA|texas,TimesFM,2626.496261322844
electricity,USA|texas,xLSTM,1725.086094191821
electricity,USA|utah,Nexus,329.6691237744451
electricity,USA|utah,SARIMA,349.6001503374339
electricity,USA|utah,TimesFM,314.3284884664476
electricity,USA|utah,xLSTM,320.62151050429173
electricity,USA|vermont,Nexus,22.31406406602249
electricity,USA|vermont,SARIMA,35.76951006042652
electricity,USA|vermont,TimesFM,21.610704257055602
electricity,USA|vermont,xLSTM,48.69046851113216
electricity,USA|virginia,Nexus,540.6873908225705
electricity,USA|virginia,SARIMA,565.6126378299386
electricity,USA|virginia,TimesFM,623.1564255576474
electricity,USA|virginia,xLSTM,714.296026616587
electricity,USA|washington,Nexus,604.3153363130857
electricity,USA|washington,SARIMA,863.8452658483058
electricity,USA|washington,TimesFM,657.0161947441084
electricity,USA|washington,xLSTM,758.1112466373324
electricity,USA|washington dc,Nexus,5.423495231570449
electricity,USA|washington dc,SARIMA,5.382546447499873
electricity,USA|washington dc,TimesFM,6.694165202431161
electricity,USA|washington dc,xLSTM,9.314329831489705
electricity,USA|west virginia,Nexus,768.0088348892082
electricity,USA|west virginia,SARIMA,1042.1536831636076
electricity,USA|west virginia,TimesFM,729.8749465083102
electricity,USA|west virginia,xLSTM,1103.648443095125
electricity,USA|wisconsin,Nexus,300.5341408719234
electricity,USA|wisconsin,SARIMA,247.6823682563062
electricity,USA|wisconsin,TimesFM,341.38153935659096
electricity,USA|wisconsin,xLSTM,947.4390008221958
electricity,USA|wyoming,Nexus,293.4924185346281
electricity,USA|wyoming,SARIMA,420.4408561460686
electricity,USA|wyoming,TimesFM,319.1286108094153
electricity,USA|wyoming,xLSTM,510.2374418704395
carbon,AUT,Nexus,15.95575284264765
carbon,AUT,SARIMA,25.40480481306591
carbon,AUT,TimesFM,16.22712028476489
carbon,AUT,xLSTM,19.814363090271552
carbon,BEL,Nexus,28.9382298013439
carbon,BEL,SARIMA,38.9976157960936
carbon,BEL,TimesFM,30.785644095318585
carbon,BEL,xLSTM,27.945534298746345
carbon,BGR,Nexus,77.96791051973528
carbon,BGR,SARIMA,59.433970807182334
carbon,BGR,TimesFM,65.9588419386631
carbon,BGR,xLSTM,97.93927231891908
carbon,BIH,Nexus,60.50053472348068
carbon,BIH,SARIMA,55.698842038733616
carbon,BIH,TimesFM,40.46600475603388
carbon,BIH,xLSTM,112.42383950812857
carbon,CHE,Nexus,7.71930121510512
carbon,CHE,SARIMA,10.144905263790594
carbon,CHE,TimesFM,6.511622151995581
carbon,CHE,xLSTM,4.8426689252676995
carbon,CYP,Nexus,30.732802605351612
carbon,CYP,SARIMA,22.338230656905402
carbon,CYP,TimesFM,34.00743585587782
carbon,CYP,xLSTM,31.893605983913233
carbon,CZE,Nexus,57.511908383758815
carbon,CZE,SARIMA,56.125597857200304
carbon,CZE,TimesFM,66.60096692480263
carbon,CZE,xLSTM,79.18244786782354
carbon,DEU,Nexus,49.59932915700036
carbon,DEU,SARIMA,45.52476936735581
carbon,DEU,TimesFM,61.95808075148837
carbon,DEU,xLSTM,71.2694870586159
carbon,DNK,Nexus,27.654622699290496
carbon,DNK,SARIMA,33.6715241966405
carbon,DNK,TimesFM,37.27880069027251
carbon,DNK,xLSTM,55.445942524138445
carbon,ESP,Nexus,17.769392990564484
carbon,ESP,SARIMA,15.841364996745094
carbon,ESP,TimesFM,21.900519233571917
carbon,ESP,xLSTM,21.03818275173223
carbon,EST,Nexus,94.15689318217734
carbon,EST,SARIMA,144.38299205232343
carbon,EST,TimesFM,107.50312889477593
carbon,EST,xLSTM,117.16589915540416
carbon,FIN,Nexus,11.565710819327588
carbon,FIN,SARIMA,22.19870432781928
carbon,FIN,TimesFM,10.548375176354515
carbon,FIN,xLSTM,15.15126448549372
carbon,FRA,Nexus,5.264071392679832
carbon,FRA,SARIMA,19.321269847007656
carbon,FRA,TimesFM,4.627473216276822
carbon,FRA,xLSTM,8.97809414521372
carbon,GBR,Nexus,25.07162558388709
carbon,GBR,SARIMA,35.01846315361183
carbon,GBR,TimesFM,28.43462967667408
carbon,GBR,xLSTM,28.783522881050345
carbon,GRC,Nexus,51.40696710139501
carbon,GRC,SARIMA,54.08366976578893
carbon,GRC,TimesFM,59.506087601823964
carbon,GRC,xLSTM,64.92319814859519
carbon,HRV,Nexus,66.41850604484208
carbon,HRV,SARIMA,52.397379936622535
carbon,HRV,TimesFM,62.72359083395895
carbon,HRV,xLSTM,87.55249913343253
carbon,HUN,Nexus,28.66221625502048
carbon,HUN,SARIMA,24.66842025556
carbon,HUN,TimesFM,31.990544348267598
