region_id,resource,model,timestamp,value
IND|kerala,electricity,SARIMA,2025-01-01,620.3915687482296
IND|kerala,electricity,SARIMA,2025-02-01,586.495823948516
IND|kerala,electricity,SARIMA,2025-03-01,595.2513156471496
IND|kerala,electricity,SARIMA,2025-04-01,723.1264164339391
IND|kerala,electricity,SARIMA,2025-05-01,767.9962753736736
IND|kerala,electricity,SARIMA,2025-06-01,700.9196756617496
IND|kerala,electricity,SARIMA,2025-07-01,772.3751492714316
IND|kerala,electricity,SARIMA,2025-08-01,834.4103794331197
IND|kerala,electricity,SARIMA,2025-09-01,650.4102016010465
IND|kerala,electricity,SARIMA,2025-10-01,659.1866408913954
IND|kerala,electricity,SARIMA,2025-11-01,537.967680062264
IND|maharashtra,electricity,SARIMA,2024-12-01,14097.250050927772
IND|maharashtra,electricity,SARIMA,2025-01-01,15244.87835529082
IND|maharashtra,electricity,SARIMA,2025-02-01,15153.57581580431
IND|maharashtra,electricity,SARIMA,2025-03-01,16056.115843799857
IND|maharashtra,electricity,SARIMA,2025-04-01,15923.194943845147
IND|maharashtra,electricity,SARIMA,2025-05-01,16559.815130263934
IND|maharashtra,electricity,SARIMA,2025-06-01,15298.283984298381
IND|maharashtra,electricity,SARIMA,2025-07-01,14605.491032149006
IND|maharashtra,electricity,SARIMA,2025-08-01,14793.642315562596
IND|maharashtra,electricity,SARIMA,2025-09-01,14176.829443045652
IND|maharashtra,electricity,SARIMA,2025-10-01,14661.389224795845
IND|maharashtra,electricity,SARIMA,2025-11-01,14088.105206092047
IND|odisha,electricity,SARIMA,2024-12-01,6792.380736078749
IND|odisha,electricity,SARIMA,2025-01-01,6808.192330982275
IND|odisha,electricity,SARIMA,2025-02-01,6523.017143715426
IND|odisha,electricity,SARIMA,2025-03-01,7011.003128795137
IND|odisha,electricity,SARIMA,2025-04-01,6678.455620646948
IND|odisha,electricity,SARIMA,2025-05-01,6903.826937356774
IND|odisha,electricity,SARIMA,2025-06-01,6191.169809425078
IND|odisha,electricity,SARIMA,2025-07-01,6225.377855584547
IND|odisha,electricity,SARIMA,2025-08-01,6136.8653014726615
IND|odisha,electricity,SARIMA,2025-09-01,6705.533522004612
IND|odisha,electricity,SARIMA,2025-10-01,7496.447949035226
IND|odisha,electricity,SARIMA,2025-11-01,7079.900836820635
IND|rajasthan,electricity,SARIMA,2024-12-01,10886.774803381812
IND|rajasthan,electricity,SARIMA,2025-01-01,11287.253429568513
IND|rajasthan,electricity,SARIMA,2025-02-01,10949.35256656884
IND|rajasthan,electricity,SARIMA,2025-03-01,11563.456943874677
IND|rajasthan,electricity,SARIMA,2025-04-01,11681.11818695864
IND|rajasthan,electricity,SARIMA,2025-05-01,12458.236685923093
IND|rajasthan,electricity,SARIMA,2025-06-01,12539.812251055657
IND|rajasthan,electricity,SARIMA,2025-07-01,11596.199253624882
IND|rajasthan,electricity,SARIMA,2025-08-01,12126.213178456599
IND|rajasthan,electricity,SARIMA,2025-09-01,11688.013105803831
IND|rajasthan,electricity,SARIMA,2025-10-01,11980.378834613352
IND|rajasthan,electricity,SARIMA,2025-11-01,10736.80207018441
IND|tamil nadu,electricity,SARIMA,2024-12-01,9833.309457360912
IND|tamil nadu,electricity,SARIMA,2025-01-01,10547.663979556324
IND|tamil nadu,electricity,SARIMA,2025-02-01,10446.363360035344
IND|tamil nadu,electricity,SARIMA,2025-03-01,11401.426620535385
IND|tamil nadu,electricity,SARIMA,2025-04-01,11336.958864660797
IND|tamil nadu,electricity,SARIMA,2025-05-01,11363.42674805608
IND|tamil nadu,electricity,SARIMA,2025-06-01,12206.694283243001
IND|tamil nadu,electricity,SARIMA,2025-07-01,13455.945632404444
IND|tamil nadu,electricity,SARIMA,2025-08-01,12424.830668328212
IND|tamil nadu,electricity,SARIMA,2025-09-01,13304.344432796719
IND|tamil nadu,electricity,SARIMA,2025-10-01,11417.737984437059
IND|tamil nadu,electricity,SARIMA,2025-11-01,10093.557946705914
IND|telangana,electricity,SARIMA,2024-12-01,5581.47900637092
IND|telangana,electricity,SARIMA,2025-01-01,6249.701127086005
IND|telangana,electricity,SARIMA,2025-02-01,5733.846007189716
IND|telangana,electricity,SARIMA,2025-03-01,6506.798944206366
IND|telangana,electricity,SARIMA,2025-04-01,6120.214236789219
IND|telangana,electricity,SARIMA,2025-05-01,6167.049608322562
IND|telangana,electricity,SARIMA,2025-06-01,5505.899259017171
IND|telangana,electricity,SARIMA,2025-07-01,5298.02230676761
IND|telangana,electricity,SARIMA,2025-08-01,6124.590460903233
IND|telangana,electricity,SARIMA,2025-09-01,5968.574851029277
IND|telangana,electricity,SARIMA,2025-10-01,6712.339829845868
IND|telangana,electricity,SARIMA,2025-11-01,5504.009056271015
IND|uttar pradesh,electricity,SARIMA,2024-12-01,13661.935371991969
IND|uttar pradesh,electricity,SARIMA,2025-01-01,15043.094756586992
IND|uttar pradesh,electricity,SARIMA,2025-02-01,13571.338788069988
IND|uttar pradesh,electricity,SARIMA,2025-03-01,14984.161849869492
IND|uttar pradesh,electricity,SARIMA,2025-04-01,15784.074291361083
IND|uttar pradesh,electricity,SARIMA,2025-05-01,16803.322754430887
IND|uttar pradesh,electricity,SARIMA,2025-06-01,16508.929582206132
IND|uttar pradesh,electricity,SARIMA,2025-07-01,16420.10174940444
IND|uttar pradesh,electricity,SARIMA,2025-08-01,15888.945081010037
IND|uttar pradesh,electricity,SARIMA,2025-09-01,14993.67094739628
IND|uttar pradesh,electricity,SARIMA,2025-10-01,15889.714640642307
IND|uttar pradesh,electricity,SARIMA,2025-11-01,13515.894018797462
IND|west bengal,electricity,SARIMA,2024-12-01,7242.03225010113
IND|west bengal,electricity,SARIMA,2025-01-01,8017.478545433278
IND|west bengal,electricity,SARIMA,2025-02-01,7557.489100784628
IND|west bengal,electricity,SARIMA,2025-03-01,8488.912124536964
IND|west bengal,electricity,SARIMA,2025-04-01,8251.089728522233
IND|west bengal,electricity,SARIMA,2025-05-01,8184.442790166995
IND|west bengal,electricity,SARIMA,2025-06-01,8168.985283573211
IND|west bengal,electricity,SARIMA,2025-07-01,7965.669517494764
IND|west bengal,electricity,SARIMA,2025-08-01,7739.564431251283
IND|west bengal,electricity,SARIMA,2025-09-01,7735.060312861425
IND|west bengal,electricity,SARIMA,2025-10-01,8348.62084662101
IND|west bengal,electricity,SARIMA,2025-11-01,7766.7247422120345
IRL,electricity,SARIMA,2025-04-01,2216.422167606247
IRL,electricity,SARIMA,2025-05-01,2108.0868621751706
IRL,electricity,SARIMA,2025-06-01,1950.4034008785002
IRL,electricity,SARIMA,2025-07-01,2065.481394866299
IRL,electricity,SARIMA,2025-08-01,2091.174883723285
IRL,electricity,SARIMA,2025-09-01,2134.5758735180675
IRL,electricity,SARIMA,2025-10-01,2314.786260278251
IRL,electricity,SARIMA,2025-11-01,2529.152174056217
IRL,electricity,SARIMA,2025-12-01,2643.4687349587757
IRL,electricity,SARIMA,2026-01-01,2757.7667274153264
IRL,electricity,SARIMA,2026-02-01,2433.485694968953
IRL,electricity,SARIMA,2026-03-01,2453.4866105141036
ITA,electricity,SARIMA,2025-05-01,19895.150085436224
ITA,electricity,SARIMA,2025-06-01,21803.383876863933
ITA,electricity,SARIMA,2025-07-01,25787.478344782878
ITA,electricity,SARIMA,2025-08-01,22714.946562005654
ITA,electricity,SARIMA,2025-09-01,21548.418936789778
ITA,electricity,SARIMA,2025-10-01,20372.544850025664
ITA,electricity,SARIMA,2025-11-01,20582.51567994266
ITA,electricity,SARIMA,2025-12-01,20415.912232156854
ITA,electricity,SARIMA,2026-01-01,20938.230242719448
ITA,electricity,SARIMA,2026-02-01,19316.36606324994
ITA,electricity,SARIMA,2026-03-01,20355.631835314838
ITA,electricity,SARIMA,2026-04-01,19210.32142795623
LTU,electricity,SARIMA,2025-05-01,786.3626299699915
LTU,electricity,SARIMA,2025-06-01,769.1753604162933
LTU,electricity,SARIMA,2025-07-01,786.3043927613509
LTU,electricity,SARIMA,2025-08-01,793.7963783750479
LTU,electricity,SARIMA,2025-09-01,808.190080529551
LTU,electricity,SARIMA,2025-10-01,879.4917562391521
LTU,electricity,SARIMA,2025-11-01,816.9761708923415
LTU,electricity,SARIMA,2025-12-01,960.3470509770214
LTU,electricity,SARIMA,2026-01-01,1049.261173948419
LTU,electricity,SARIMA,2026-02-01,881.5466662173525
LTU,electricity,SARIMA,2026-03-01,1009.1472428300801
LTU,electricity,SARIMA,2026-04-01,1035.7759378918843
LUX,electricity,SARIMA,2025-05-01,117.30696233562198
LUX,electricity,SARIMA,2025-06-01,95.71656259678032
LUX,electricity,SARIMA,2025-07-01,99.84191052855887
LUX,electricity,SARIMA,2025-08-01,109.8762014750634
LUX,electricity,SARIMA,2025-09-01,97.90569354708704
LUX,electricity,SARIMA,2025-10-01,109.88937889671631
LUX,electricity,SARIMA,2025-11-01,113.85161680404141
LUX,electricity,SARIMA,2025-12-01,101.87120912604234
LUX,electricity,SARIMA,2026-01-01,121.87128759679345
LUX,electricity,SARIMA,2026-02-01,105.83265567175312
LUX,electricity,SARIMA,2026-03-01,123.9003091406866
LUX,electricity,SARIMA,2026-04-01,127.8616559991806
LVA,electricity,SARIMA,2025-05-01,144.25171105312677
LVA,electricity,SARIMA,2025-06-01,-33.624661216123
LVA,electricity,SARIMA,2025-07-01,2.098458743758343
LVA,electricity,SARIMA,2025-08-01,54.09402333509422
LVA,electricity,SARIMA,2025-09-01,62.91681238779607
LVA,electricity,SARIMA,2025-10-01,5.322395206758763
LVA,electricity,SARIMA,2025-11-01,166.82049131003362
LVA,electricity,SARIMA,2025-12-01,215.40272816914148
LVA,electricity,SARIMA,2026-01-01,451.8389594828048
LVA,electricity,SARIMA,2026-02-01,504.7204120694675
LVA,electricity,SARIMA,2026-03-01,456.10158755643323
LVA,electricity,SARIMA,2026-04-01,329.67174927940715
MDA,electricity,SARIMA,2023-09-01,454.12672680682755
MDA,electricity,SARIMA,2023-10-01,464.0198168586997
MDA,electricity,SARIMA,2023-11-01,435.48444003061144
MDA,electricity,SARIMA,2023-12-01,561.2261660947228
MDA,electricity,SARIMA,2024-01-01,547.2944395344446
MDA,electricity,SARIMA,2024-02-01,487.2944392928948
MDA,electricity,SARIMA,2024-03-01,537.1312428299008
MDA,electricity,SARIMA,2024-04-01,463.5259154068224
MDA,electricity,SARIMA,2024-05-01,433.1995224995504
MDA,electricity,SARIMA,2024-06-01,426.4784570150068
MDA,electricity,SARIMA,2024-07-01,439.5941950768348
MDA,electricity,SARIMA,2024-08-01,436.3152605613778
MKD,electricity,SARIMA,2024-03-01,712.1230813975708
MKD,electricity,SARIMA,2024-04-01,630.2874916673727
MKD,electricity,SARIMA,2024-05-01,500.5174284826182
MKD,electricity,SARIMA,2024-06-01,535.603947595911
MKD,electricity,SARIMA,2024-07-01,567.9292506467746
MKD,electricity,SARIMA,2024-08-01,596.4239240461525
MKD,electricity,SARIMA,2024-09-01,547.9204497223749
MKD,electricity,SARIMA,2024-10-01,573.3423268310438
MKD,electricity,SARIMA,2024-11-01,637.8494403095157
MKD,electricity,SARIMA,2024-12-01,679.5662896246079
MKD,electricity,SARIMA,2025-01-01,730.8310364606332
MKD,electricity,SARIMA,2025-02-01,723.5774516817424
MLT,electricity,SARIMA,2025-04-01,239.3728071912607
MLT,electricity,SARIMA,2025-05-01,253.29525636632292
MLT,electricity,SARIMA,2025-06-01,267.7687385485187
MLT,electricity,SARIMA,2025-07-01,297.81855538063184
MLT,electricity,SARIMA,2025-08-01,306.27619916126605
MLT,electricity,SARIMA,2025-09-01,265.15892750711805
MLT,electricity,SARIMA,2025-10-01,247.83087679159422
MLT,electricity,SARIMA,2025-11-01,230.50250916577468
MLT,electricity,SARIMA,2025-12-01,216.2786738121477
MLT,electricity,SARIMA,2026-01-01,237.83097471643998
MLT,electricity,SARIMA,2026-02-01,227.83097534438045
MLT,electricity,SARIMA,2026-03-01,239.38327322738945
NLD,electricity,SARIMA,2025-05-01,10150.501883485405
NLD,electricity,SARIMA,2025-06-01,10385.141456056916
NLD,electricity,SARIMA,2025-07-01,10427.856125985336
NLD,electricity,SARIMA,2025-08-01,10724.087769196998
NLD,electricity,SARIMA,2025-09-01,10043.619106422642
NLD,electricity,SARIMA,2025-10-01,9933.848558119613
NLD,electricity,SARIMA,2025-11-01,11057.694791990853
NLD,electricity,SARIMA,2025-12-01,11476.452735816094
NLD,electricity,SARIMA,2026-01-01,12265.875634172957
NLD,electricity,SARIMA,2026-02-01,11377.594309096054
NLD,electricity,SARIMA,2026-03-01,11667.88957684744
NLD,electricity,SARIMA,2026-04-01,10688.411471446067
NOR,electricity,SARIMA,2025-05-01,11663.252226831055
NOR,electricity,SARIMA,2025-06-01,11424.393311659358
NOR,electricity,SARIMA,2025-07-01,11339.509911532388
NOR,electricity,SARIMA,2025-08-01,11665.210779898458
NOR,electricity,SARIMA,2025-09-01,11823.598270310953
NOR,electricity,SARIMA,2025-10-01,13095.339823212957
NOR,electricity,SARIMA,2025-11-01,14419.925972424953
NOR,electricity,SARIMA,2025-12-01,14945.72910328103
NOR,electricity,SARIMA,2026-01-01,16358.700316785702
NOR,electricity,SARIMA,2026-02-01,14981.808407854769
NOR,electricity,SARIMA,2026-03-01,14745.058380223905
NOR,electricity,SARIMA,2026-04-01,12674.745019741036
POL,electricity,SARIMA,2025-05-01,12417.915239487516
POL,electricity,SARIMA,2025-06-01,12241.877085243135
POL,electricity,SARIMA,2025-07-01,12593.822791599363
